"Sorting.code","Mesh.size","Leaf.condition","Genus","latitude","longitude","mean_kd","mean_mean_daily_temp","Citation"
1,"coarse","senesced","Eucalyptus",40.1822,-8.2337,0.0096,11.5,"Gama et al. 2007 International Review of Hydrobiology"
3,"fine","senesced","Eucalyptus",40.1822,-8.2337,0.00895,11.5,"Gama et al. 2007 International Review of Hydrobiology"
5,"coarse","senesced","Populus",51.163,-114.1952,0.00908333333333333,2,"Garden and Davies 1988 Freshwater Biology"
21,"coarse","senesced","Alnus",40.6,-8.14,0.0295,10.6,"Goncalves et al. 2006 JNABS"
22,"fine","senesced","Alnus",40.6,-8.14,0.0166,10.6,"Goncalves et al. 2006 JNABS"
23,"coarse","senesced","Alnus",37.28,-8.01,0.0137,13.3,"Goncalves et al. 2006 JNABS"
24,"fine","senesced","Alnus",37.28,-8.01,0.0093,13.3,"Goncalves et al. 2006 JNABS"
25,"coarse","senesced","Alnus",-19.164,-43.312,0.0136,15.5,"Goncalves et al. 2006 JNABS"
26,"fine","senesced","Alnus",-19.164,-43.312,0.0143,15.5,"Goncalves et al. 2006 JNABS"
27,"coarse","senesced","Protium",40.06,-8.14,0.0056,13.7,"Goncalves et al. 2007 Freshwater Biology"
28,"fine","senesced","Protium",40.06,-8.14,0.00465,13.7,"Goncalves et al. 2007 Freshwater Biology"
31,"coarse","senesced","Protium",-19.1604,-43.3102,0.0021,15.5,"Goncalves et al. 2007 Freshwater Biology"
32,"fine","senesced","Protium",-19.1604,-43.3102,0.0016,15.5,"Goncalves et al. 2007 Freshwater Biology"
33,"coarse","senesced","Pinus",45.12,-8.25,0.0039,14.3,"Graca and Pereira 1995"
34,"fine","senesced","Pinus",45.12,-8.25,0.0026,14.3,"Graca and Pereira 1995"
35,"coarse","senesced","Alnus",40.0444,-8.121,0.0461,10.7,"Gulis et al. 2006 Freshwater Biology"
36,"coarse","senesced","Alnus",40.3201,-8.0915,0.1124,11,"Gulis et al. 2006 Freshwater Biology"
37,"coarse","senesced","Alnus",40.0521,-8.1206,0.0393,10.6,"Gulis et al. 2006 Freshwater Biology"
38,"coarse","senesced","Alnus",40.3205,-8.0931,0.0447,10.8,"Gulis et al. 2006 Freshwater Biology"
39,"coarse","senesced","Alnus",40.3544,-8.103,0.0692,9.5,"Gulis et al. 2006 Freshwater Biology"
40,"coarse","senesced","Alnus",40.3412,-8.0904,0.0667,10.7,"Gulis et al. 2006 Freshwater Biology"
41,"coarse","senesced","Alnus",40.3159,-8.1353,0.0211,11.5,"Gulis et al. 2006 Freshwater Biology"
42,"coarse","senesced","Alnus",40.3404,-8.0903,0.0898,11,"Gulis et al. 2006 Freshwater Biology"
43,"coarse","senesced","Alnus",40.3129,-8.1108,0.0501,10.3,"Gulis et al. 2006 Freshwater Biology"
44,"coarse","senesced","Alnus",40.3228,-8.0718,0.1482,11,"Gulis et al. 2006 Freshwater Biology"
45,"coarse","senesced","Quercus",40.0444,-8.121,0.0223,10.7,"Gulis et al. 2006 Freshwater Biology"
46,"coarse","senesced","Quercus",40.3201,-8.0915,0.0606,11,"Gulis et al. 2006 Freshwater Biology"
47,"coarse","senesced","Quercus",40.0521,-8.1206,0.0146,10.6,"Gulis et al. 2006 Freshwater Biology"
48,"coarse","senesced","Quercus",40.3205,-8.0931,0.0257,10.8,"Gulis et al. 2006 Freshwater Biology"
49,"coarse","senesced","Quercus",40.3544,-8.103,0.0099,9.5,"Gulis et al. 2006 Freshwater Biology"
50,"coarse","senesced","Quercus",40.3412,-8.0904,0.0195,10.7,"Gulis et al. 2006 Freshwater Biology"
51,"coarse","senesced","Quercus",40.3159,-8.1353,0.0077,11.5,"Gulis et al. 2006 Freshwater Biology"
52,"coarse","senesced","Quercus",40.3404,-8.0903,0.0366,11,"Gulis et al. 2006 Freshwater Biology"
53,"coarse","senesced","Quercus",40.3129,-8.1108,0.0163,10.3,"Gulis et al. 2006 Freshwater Biology"
54,"coarse","senesced","Quercus",40.3228,-8.0718,0.0516,11,"Gulis et al. 2006 Freshwater Biology"
55,"fine","senesced","Alnus",40.0444,-8.121,0.0208,10.7,"Gulis et al. 2006 Freshwater Biology"
56,"fine","senesced","Alnus",40.3201,-8.0915,0.0252,11,"Gulis et al. 2006 Freshwater Biology"
57,"fine","senesced","Alnus",40.0521,-8.1206,0.0234,10.6,"Gulis et al. 2006 Freshwater Biology"
58,"fine","senesced","Alnus",40.3205,-8.0931,0.0194,10.8,"Gulis et al. 2006 Freshwater Biology"
59,"fine","senesced","Alnus",40.3544,-8.103,0.013,9.5,"Gulis et al. 2006 Freshwater Biology"
60,"fine","senesced","Alnus",40.3412,-8.0904,0.0203,10.7,"Gulis et al. 2006 Freshwater Biology"
61,"fine","senesced","Alnus",40.3159,-8.1353,0.0163,11.5,"Gulis et al. 2006 Freshwater Biology"
62,"fine","senesced","Alnus",40.3404,-8.0903,0.0267,11,"Gulis et al. 2006 Freshwater Biology"
63,"fine","senesced","Alnus",40.3129,-8.1108,0.0216,10.3,"Gulis et al. 2006 Freshwater Biology"
64,"fine","senesced","Alnus",40.3228,-8.0718,0.0314,11,"Gulis et al. 2006 Freshwater Biology"
65,"fine","senesced","Quercus",40.0444,-8.121,0.0083,10.7,"Gulis et al. 2006 Freshwater Biology"
66,"fine","senesced","Quercus",40.3201,-8.0915,0.0108,11,"Gulis et al. 2006 Freshwater Biology"
67,"fine","senesced","Quercus",40.0521,-8.1206,0.0083,10.6,"Gulis et al. 2006 Freshwater Biology"
68,"fine","senesced","Quercus",40.3205,-8.0931,0.0092,10.8,"Gulis et al. 2006 Freshwater Biology"
69,"fine","senesced","Quercus",40.3544,-8.103,0.0043,9.5,"Gulis et al. 2006 Freshwater Biology"
70,"fine","senesced","Quercus",40.3412,-8.0904,0.0089,10.7,"Gulis et al. 2006 Freshwater Biology"
71,"fine","senesced","Quercus",40.3159,-8.1353,0.0068,11.5,"Gulis et al. 2006 Freshwater Biology"
72,"fine","senesced","Quercus",40.3404,-8.0903,0.0125,11,"Gulis et al. 2006 Freshwater Biology"
73,"fine","senesced","Quercus",40.3129,-8.1108,0.0086,10.3,"Gulis et al. 2006 Freshwater Biology"
74,"fine","senesced","Quercus",40.3228,-8.0718,0.0108,11,"Gulis et al. 2006 Freshwater Biology"
75,"coarse","senesced","Alnus",62,26,0.019,2.6,"Haapala et al. 2001 JNABS"
76,"coarse","senesced","Betula",62,26,0.011,2.6,"Haapala et al. 2001 JNABS"
77,"coarse","senesced","Salix",62,26,0.005,2.6,"Haapala et al. 2001 JNABS"
78,"coarse","green","Melicytus",-38.0028,175.2654,0.0507,14.5,"Hicks and Laboyrie 1999 NZ Journal of Marine and Freshwater Research"
79,"coarse","senesced","Betula",-38.0028,175.2654,0.0325,14.5,"Hicks and Laboyrie 1999 NZ Journal of Marine and Freshwater Research"
80,"coarse","senesced","Alnus",-38.0028,175.2654,0.0216,14.5,"Hicks and Laboyrie 1999 NZ Journal of Marine and Freshwater Research"
82,"coarse","senesced","Nothofagus",-38.0028,175.2654,0.0103,14.5,"Hicks and Laboyrie 1999 NZ Journal of Marine and Freshwater Research"
85,"coarse","senesced","Acer",41.4606,-73.5609,0.0284,7,"Hill and Perrotte 1995 Hydrobiologia"
121,"coarse","senesced","Liriodendron",33.1309,-86.2934,0.023,10.9,"Howe and Suberkropp 1994 Archiv fur Hydrobiologia"
122,"fine","senesced","Liriodendron",33.1309,-86.2934,0.007,10.9,"Howe and Suberkropp 1994 Archiv fur Hydrobiologia"
123,"coarse","senesced","Acer",35.11,-83.363,0.02465,9.1,"Hutchens and Wallace 2002 Ecosystems"
125,"coarse","senesced","Zea",40.4156,-87.2512,0.01955,5,"Griffiths et al. 2009 Ecological Applications"
127,"coarse","senesced","Zea",40.3634,-87.1125,0.01855,4.5,"Griffiths et al. 2009 Ecological Applications"
129,"coarse","senesced","Zea",40.3719,-87.2539,0.0159,5.3,"Griffiths et al. 2009 Ecological Applications"
131,"coarse","senesced","Alnus",40.05,-8.12,0.0217,11.3,"Abelho 2008 International Review of Hydrobiology"
132,"coarse","senesced","Castanea",40.05,-8.12,0.0197,13.94,"Abelho 2008 International Review of Hydrobiology"
133,"coarse","green","Quercus",40.05,-8.12,0.0209,11.3,"Abelho 2008 International Review of Hydrobiology"
134,"coarse","senesced","Alnus",40.1822,-8.2337,0.0413,12.5,"Abelho 2009a International Review of Hydrobiology_Leaf litter mixtures"
